name,latitude,longitude,operator
Spencer plaza,13.086440939321662,80.24611761923632,(Unknown Operator)
Grand Chennai by GRT Hotels,13.039883703809373,80.24507602103657,(Unknown Operator)
Saravana Stores - Padi - Relux Electric ,13.10080944,80.19059824,Relux Electric (India)
Cosmopolitan Club - Relux Electric,13.10080944,80.19059824,Relux Electric (India)
SRM Eshwari College,13.0352312108773,80.19546897036247,(Unknown Operator)
Dr. MGR University ,13.06959746,80.1779609,Relux Electric (India)
Dr. MGR University ,13.06959746,80.1779609,Relux Electric (India)
IITM Research Park,12.9908,80.2424,Relux Electric (India)
Holiday Inn Chennai OMR,12.98007448484978,80.25315304085922,(Unknown Operator)
Etron Energies,13.07148,80.11256,Zeon Charging
SRM Institute of science and technology,12.919046997353462,80.2829860791885,(Unknown Operator)
MM Legacy ,12.9036054,80.167116,Relux Electric (India)
EVP Cinemas - Relux Charging Station,13.03601745,80.04651678,Relux Electric (India)
Muscat bakery & Restaurants,13.008010578515618,79.99673028011085,(Unknown Operator)
Kalyan Grand Business Hotel,12.873800155645254,80.07849378133422,(Unknown Operator)
Hindustan EV Charge ,12.79947247256655,80.22763805069019,(Unknown Operator)
Sheraton Grand Chennai Resort,12.744285810719333,80.23928129928231,Chargezone (India)
Pondur - Oragadam,12.9274339889228,79.93416222500605,Chargezone (India)
Fairfield By Marriott,12.932607263975811,79.90581636365982,Chargezone (India)
Four Points By Sheraton,12.613079212258143,80.16879623508567,Chargezone (India)
Regency Tiruttani by GRT Hotels,13.19516,79.64576,Zeon Charging
Silavattam Village,12.48148773352969,79.86252229584034,(Unknown Operator)
Hotel Aaryas Garden - Relux Electric,12.38530243,79.7960046,Relux Electric (India)
Hotel Paladin Pride,13.890665810555973,79.8798169477675,(Unknown Operator)
Hotel Aaryas Garden - Relux Charging Station,12.2406595,79.663151,Relux Electric (India)
Hotel Aishwarya Bhavan,12.24034498,79.66228159,Relux Electric (India)
Ocean Spray Resort ,12.06587465,79.88027083,Relux Electric (India)
Regency Sameera Vellore by GRT Hotels,12.93209,79.13843,Zeon Charging
"Park Inn by Radisson, Vellore",12.932172599883003,79.13688025759188,(Unknown Operator)
Hotel Benzz Park,12.929099273160231,79.1336516,Relux Electric (India)
RB Business Centre,12.86196,79.13251,Zeon Charging
Aryaas Pure Veg,12.90702,78.9619,Zeon Charging
Cafe Coffee Day,12.888168188363297,78.87963197158584,Chargezone (India)
Hotel Himalayaa,12.23639376,79.08960088,Relux Electric (India)
Hotel Seasons,12.258660691700726,79.06838859499601,Chargezone (India)
Sree Annapoorna Restaurant ,12.85301412,78.81703476,Chargezone (India)
