trip_id,distance_km,road_type,elevation_gain_m,elevation_loss_m,avg_speed_kmh,traffic_congestion_level,ambient_temperature_c,weather_condition,vehicle_profile,vehicle_battery_capacity_kwh,vehicle_efficiency_baseline_wh_per_km,vehicle_curb_weight_kg,load_state,payload_kg,total_mass_kg,energy_consumed_kwh,wh_per_km
1,8.16,city,1.6,1.4,21.1,0.726,27.3,heavy_rain,large_ev,75,190,2400,full_load,578.6,2978.6,7.501,918.9
2,6.73,city,2.6,2.6,27.1,0.976,28.7,clear,small_ev,24,140,1400,full_load,276.6,1676.6,4.499,668.9
3,27.51,highway,2.8,11.9,77.1,0.48,28.6,rain,large_ev,75,190,2400,full_load,584.3,2984.3,19.364,703.8
4,3.8,city,7.7,0.5,26.6,0.399,29.0,clear,large_ev,75,190,2400,half_load,359.9,2759.9,1.961,516.3
5,106.59,highway,14.2,48.9,72.0,0.084,36.4,rain,small_ev,24,140,1400,full_load,255.2,1655.2,43.777,410.7
6,62.74,highway,46.8,8.8,85.9,0.022,39.6,clear,mid_ev,40,160,1900,half_load,191.2,2091.2,41.153,655.9
8,13.6,arterial,10.5,20.6,53.5,0.403,41.4,clear,small_ev,24,140,1400,full_load,297.6,1697.6,5.576,410.0
10,8.63,city,0.9,0.7,20.3,0.745,42.0,clear,mid_ev,40,160,1900,full_load,421.1,2321.1,7.431,861.3
11,25.11,arterial,82.9,9.7,43.6,0.172,36.4,clear,small_ev,24,140,1400,unladen,26.6,1426.6,5.701,227.0
12,13.95,arterial,0.5,39.7,30.3,0.08,23.5,clear,mid_ev,40,160,1900,half_load,210.1,2110.1,2.007,143.9
13,86.04,highway,45.7,35.9,89.7,0.127,34.3,clear,large_ev,75,190,2400,unladen,59.7,2459.7,68.785,799.4
15,9.29,city,2.4,14.7,25.8,0.409,32.2,clear,large_ev,75,190,2400,half_load,348.9,2748.9,4.869,524.3
16,75.32,highway,23.5,28.4,92.1,0.124,29.5,clear,small_ev,24,140,1400,full_load,289.3,1689.3,40.853,542.4
17,3.05,city,1.3,3.5,24.0,0.72,33.7,clear,small_ev,24,140,1400,half_load,140.4,1540.4,1.377,451.7
18,77.95,highway,59.4,23.6,86.9,0.323,25.2,rain,small_ev,24,140,1400,half_load,120.4,1520.4,39.92,512.1
19,53.09,arterial,36.9,8.9,38.3,0.072,28.9,clear,mid_ev,40,160,1900,half_load,190.3,2090.3,9.55,179.9
20,47.59,highway,62.0,16.8,87.4,0.112,33.7,rain,small_ev,24,140,1400,full_load,290.0,1690.0,27.139,570.2
21,9.85,city,4.9,12.6,23.4,0.299,27.9,clear,large_ev,75,190,2400,full_load,543.5,2943.5,4.078,414.0
24,2.02,city,5.2,4.7,23.0,0.759,32.6,clear,mid_ev,40,160,1900,unladen,44.9,1944.9,1.26,623.3
25,54.3,highway,57.3,40.7,84.8,0.287,28.4,clear,small_ev,24,140,1400,full_load,270.4,1670.4,27.968,515.0
26,3.62,city,1.4,8.8,27.0,0.557,35.1,clear,mid_ev,40,160,1900,full_load,426.6,2326.6,2.243,619.9
27,12.7,arterial,2.4,29.7,51.3,0.34,20.0,clear,mid_ev,40,160,1900,half_load,240.7,2140.7,4.386,345.5
28,2.83,city,8.5,0.5,20.8,0.222,26.4,clear,small_ev,24,140,1400,unladen,7.4,1407.4,0.498,176.4
29,66.11,highway,0.1,16.7,74.6,0.024,25.9,clear,mid_ev,40,160,1900,unladen,18.7,1918.7,28.602,432.6
31,11.54,city,8.0,0.5,12.3,0.95,35.7,clear,small_ev,24,140,1400,unladen,0.3,1400.3,6.375,552.3
32,8.8,arterial,41.4,13.6,42.6,0.784,34.2,clear,small_ev,24,140,1400,full_load,289.8,1689.8,4.017,456.4
33,101.67,highway,12.4,0.6,88.4,0.046,37.8,rain,large_ev,75,190,2400,half_load,289.7,2689.7,87.153,857.2
34,7.77,city,0.9,11.4,24.4,0.286,31.1,rain,mid_ev,40,160,1900,half_load,191.3,2091.3,2.483,319.5
35,7.46,arterial,28.7,1.9,39.0,0.474,36.3,rain,mid_ev,40,160,1900,unladen,24.1,1924.1,2.912,390.5
36,7.45,arterial,5.8,20.3,48.0,0.408,30.0,rain,small_ev,24,140,1400,full_load,282.5,1682.5,2.418,324.7
37,44.17,highway,26.2,5.7,81.0,0.021,32.6,clear,mid_ev,40,160,1900,unladen,18.4,1918.4,21.331,482.9
38,67.86,highway,87.4,24.0,83.8,0.329,27.2,rain,large_ev,75,190,2400,unladen,44.0,2444.0,47.777,704.0
39,21.37,city,1.5,3.1,33.4,0.482,35.3,clear,large_ev,75,190,2400,half_load,264.5,2664.5,14.193,664.2
40,48.6,highway,18.5,7.7,85.3,0.431,26.1,clear,mid_ev,40,160,1900,full_load,445.6,2345.6,29.928,615.7
41,3.69,city,3.7,14.0,13.9,0.757,31.3,clear,small_ev,24,140,1400,full_load,294.6,1694.6,1.73,469.2
42,58.05,highway,8.4,27.7,84.7,0.024,20.0,rain,mid_ev,40,160,1900,half_load,202.7,2102.7,30.644,527.9
43,51.35,highway,10.5,13.6,81.9,0.121,31.5,rain,small_ev,24,140,1400,unladen,16.3,1416.3,25.495,496.5
44,191.11,highway,5.8,26.2,72.2,0.173,38.2,clear,mid_ev,40,160,1900,full_load,446.1,2346.1,100.297,524.8
45,5.16,city,16.3,5.8,22.7,0.736,31.4,clear,mid_ev,40,160,1900,unladen,11.0,1911.0,3.091,599.6
46,19.31,city,2.5,3.4,25.5,0.664,33.5,clear,mid_ev,40,160,1900,full_load,415.0,2315.0,12.874,666.8
47,8.56,city,12.5,9.7,24.3,0.836,37.9,rain,mid_ev,40,160,1900,half_load,227.9,2127.9,7.559,883.6
48,84.75,highway,43.9,49.4,86.3,0.168,35.6,clear,large_ev,75,190,2400,full_load,577.6,2977.6,65.051,767.6
50,95.94,highway,15.3,58.9,88.3,0.083,40.0,clear,small_ev,24,140,1400,full_load,293.1,1693.1,57.365,597.9
51,11.46,city,11.5,3.1,22.8,0.324,32.7,clear,small_ev,24,140,1400,full_load,280.3,1680.3,3.134,273.4
52,22.19,arterial,24.8,38.2,56.5,0.191,29.3,clear,small_ev,24,140,1400,half_load,159.8,1559.8,6.398,288.4
53,9.01,city,4.6,7.9,9.4,0.394,32.0,clear,large_ev,75,190,2400,unladen,54.6,2454.6,3.811,422.7
57,35.91,highway,31.6,23.6,98.2,0.409,31.3,rain,large_ev,75,190,2400,unladen,59.9,2459.9,34.47,959.8
58,21.42,highway,16.7,32.2,82.2,0.352,30.7,clear,small_ev,24,140,1400,half_load,126.7,1526.7,10.577,493.8
59,36.46,arterial,3.1,4.1,49.9,0.378,37.5,clear,large_ev,75,190,2400,unladen,58.6,2458.6,18.591,509.9
60,29.82,highway,121.5,3.7,86.0,0.168,31.0,clear,mid_ev,40,160,1900,unladen,36.1,1936.1,17.948,601.8
61,14.34,arterial,6.8,91.1,44.2,0.309,30.2,clear,large_ev,75,190,2400,half_load,244.2,2644.2,5.489,382.7
62,16.31,arterial,45.2,3.6,58.8,0.211,29.1,clear,large_ev,75,190,2400,unladen,45.1,2445.1,7.642,468.6
63,31.32,arterial,26.0,12.1,40.5,0.834,25.1,clear,small_ev,24,140,1400,full_load,272.9,1672.9,12.06,385.1
64,33.99,highway,99.3,2.3,109.6,0.258,26.0,rain,mid_ev,40,160,1900,half_load,246.1,2146.1,30.228,889.2
65,7.46,city,2.3,14.1,24.5,0.418,29.4,clear,mid_ev,40,160,1900,unladen,25.3,1925.3,2.801,375.3
67,16.16,arterial,9.6,0.8,39.6,0.604,30.1,rain,mid_ev,40,160,1900,half_load,195.9,2095.9,6.174,382.2
69,24.89,arterial,7.0,77.3,36.0,0.034,31.1,clear,mid_ev,40,160,1900,full_load,421.4,2321.4,4.318,173.5
71,79.77,highway,39.0,55.7,78.7,0.34,35.0,clear,large_ev,75,190,2400,half_load,295.4,2695.4,54.613,684.6
73,58.16,highway,17.2,46.8,63.3,0.282,41.0,clear,small_ev,24,140,1400,half_load,153.8,1553.8,21.724,373.5
74,13.09,arterial,34.5,98.3,47.1,0.408,20.6,rain,mid_ev,40,160,1900,unladen,7.2,1907.2,4.599,351.4
75,2.0,arterial,51.4,10.2,54.9,0.247,33.8,rain,mid_ev,40,160,1900,unladen,25.4,1925.4,1.013,506.7
76,22.56,highway,39.8,19.6,77.4,0.01,23.1,clear,mid_ev,40,160,1900,unladen,23.4,1923.4,10.268,455.1
78,2.63,city,7.8,3.0,24.0,0.445,32.8,rain,large_ev,75,190,2400,unladen,32.1,2432.1,1.438,546.6
79,48.03,highway,65.7,4.3,82.5,0.012,25.4,clear,large_ev,75,190,2400,full_load,558.1,2958.1,30.788,641.0
81,18.47,arterial,28.7,36.6,36.3,0.334,21.6,heavy_rain,small_ev,24,140,1400,full_load,271.3,1671.3,4.49,243.1
82,93.03,highway,1.3,3.5,96.8,0.071,34.3,clear,mid_ev,40,160,1900,half_load,226.4,2126.4,69.898,751.3
85,14.29,city,23.4,2.1,24.2,0.223,29.5,clear,small_ev,24,140,1400,half_load,146.2,1546.2,2.852,199.6
86,16.12,arterial,17.7,32.1,56.7,0.352,27.4,clear,large_ev,75,190,2400,unladen,49.3,2449.3,7.743,480.2
87,6.88,city,1.5,14.7,13.8,0.586,30.0,clear,mid_ev,40,160,1900,full_load,437.3,2337.3,4.015,583.9
89,6.55,city,2.1,15.9,15.6,0.492,28.2,clear,large_ev,75,190,2400,full_load,537.7,2937.7,4.002,611.0
90,5.63,city,10.0,6.8,9.4,0.488,21.0,clear,mid_ev,40,160,1900,full_load,394.4,2294.4,2.49,442.1
92,13.13,city,7.3,12.7,34.1,0.636,30.5,clear,small_ev,24,140,1400,full_load,280.6,1680.6,6.292,479.3
93,3.32,city,1.4,0.7,24.4,0.76,27.4,clear,large_ev,75,190,2400,half_load,281.4,2681.4,2.735,824.0
