station_name,operator,address,city,district_area,state,pincode,latitude,longitude,num_chargers,connector_types,power_kw,status,pricing,source_url,coord_precision,corridor
RB Business Centre,Zeon Charging,"18, NH - 38, near Arni Road",Vellore,Adukkamparai,Tamil Nadu,632011.0,12.86196,79.13251,1,CCS (Type 2),30.0,Operational,On request,https://www.evchargestation.in/ev-station/rb-business-centre-vellore-tamil-nadu,verified (site page),Urban/City
SR Jungle Resort Anaikatti,Zeon Charging,927 Anaikatti Road near Barath Gas Godown KK Nagar,Anaikatti,Anaikatti,Tamil Nadu,641108.0,11.11848,76.75985,1,Type 2 (Tethered Connector),22.0,Operational,21.90/kWh,https://www.evchargestation.in/ev-station/sr-jungle-resort-anaikatti-anaikatti-tamil-nadu,verified (site page),Urban/City
Charles Mahal,Relux Electric (India),"19, 4a, Thanjavur Rd, Rail Nagar, Ariyamangalam Area",Tiruchirappalli,Ariyamangalam,Tamil Nadu,620010.0,10.80578,78.73219,1,CCS (Type 2),30.0,Operational,Rs.24/kWh,https://www.evchargestation.in/ev-station/charles-mahal-tiruchirappalli-tamil-nadu,verified (site page),Urban/City
Annapoorna - NH Avinashi,Zeon Charging,"Rayan Kovil, Avinashi Bye Pass Road",Avinashi,Avinashi,Tamil Nadu,641654.0,11.1778,77.28318,1,CCS (Type 2),30.0,Operational,On request,https://www.evchargestation.in/ev-station/annapoorna-nh-avinashi-avinashi-tamil-nadu,verified (site page),Urban/City
Junior Kuppanna,Zeon Charging,"NH - 544, Salem - Kochi Highway",Avinashi,Avinashi,Tamil Nadu,641654.0,11.17708,77.24713,1,CCS (Type 2),30.0,Operational,On request,https://www.evchargestation.in/ev-station/junior-kuppanna-avinashi-tamil-nadu,verified (site page),Urban/City
Sree Annapoorna Hotel Avinashi,Zeon Charging,"NH - 544, Rayan Kovil, Avinashi Bye Pass Road",Avinashi,Avinashi,Tamil Nadu,641663.0,11.17513,77.26342,1,CCS (Type 2),60.0,Operational,On request,https://www.evchargestation.in/ev-station/sree-annapoorna-hotel-avinashi-avinashi-tamil-nadu,verified (site page),Urban/City
EVP Cinemas - Relux Charging Station,Relux Electric (India),"NH 48 (Chennai to Bengaluru), Santhosha Nagar",Chembarambakkam,Chembarambakkam,Tamil Nadu,600123.0,13.03601745,80.04651678,1,CCS (Type 2),30.0,Operational,Rs.22/-,https://www.evchargestation.in/ev-station/evp-cinemas-relux-charging-station-chembarambakkam-tamil-nadu,verified (site page),Urban/City
Sheraton Grand Chennai Resort,Marriott (Private),"East Coast Road (Thiruvanmiyur-Mahabalipuram-Marakkanam-Pondicherry Road), Chennai",Chennai,Chengalpattu,Tamil Nadu,,12.6208,80.1928,1,CCS (Type 2),,Operational,,https://www.meraev.com/charging-stations-in/chennai,approximate (town/road-level),ECR
Four Points By Sheraton,Marriott (Private),"East Coast Road, ECR-OMR Junction, Mahabalipuram, 603104",Mahabalipuram,Chengalpattu,Tamil Nadu,603104.0,12.6208,80.1928,1,CCS (Type 2),,Operational,,https://www.meraev.com/charging-stations-in/chennai,approximate (town/road-level),ECR
Mamallapuram - Radisson Blu Resort Temple Bay,Zeon Charging,"J5FW+G3 Mahabalipuram, 603104",Mahabalipuram,Chengalpattu,Tamil Nadu,603104.0,12.6238125,80.1951875,1,Type 2 (AC),22 kW,Operational,,https://zeoncharging.com/ev-charging-mamallapuram-radisson-blu-resort-temple-bay-j5fw-g3-mahabalipuram-tamil-nadu-india-603104,verified (site page),ECR Mahabalipuram
Mamandur - Ram Residency (Manoj Bhavan),Zeon Charging,"GST Rd, Mamandur, Chengalpattu, 603111",Mamandur,Chengalpattu,Tamil Nadu,603111.0,12.6426375,79.9388906,2,CCS2 (DC),120 kW,Operational,,https://zeoncharging.com/ev-charging-maiyur-mamandur-ram-residency-manoj-bhavan-jwvq-3h2-maiyur-tamil-nadu-india-603111,verified (site page),NH45/GST Road Chengalpattu
