trip_id,distance_km,road_type,elevation_gain_m,elevation_loss_m,avg_speed_kmh,traffic_congestion_level,ambient_temperature_c,weather_condition,vehicle_profile,vehicle_battery_capacity_kwh,vehicle_efficiency_baseline_wh_per_km,vehicle_curb_weight_kg,load_state,payload_kg,total_mass_kg,energy_consumed_kwh,wh_per_km
1,73.73,highway,43.2,3.9,102.9,0.062,33.2,clear,small_ev,24,140,1400,unladen,9.4,1409.4,52.385,710.5
2,5.73,city,19.0,7.5,19.4,0.535,28.1,rain,small_ev,24,140,1400,half_load,128.5,1528.5,2.005,349.8
4,134.41,highway,5.6,0.8,78.1,0.046,23.6,rain,small_ev,24,140,1400,unladen,1.9,1401.9,53.354,397.0
6,30.54,highway,14.4,9.1,88.8,0.182,26.3,clear,mid_ev,40,160,1900,unladen,33.2,1933.2,16.875,552.6
7,87.59,highway,42.5,22.7,89.3,0.077,31.5,clear,mid_ev,40,160,1900,half_load,247.4,2147.4,57.196,653.0
8,141.13,highway,39.9,10.0,85.7,0.086,34.1,clear,large_ev,75,190,2400,half_load,282.9,2682.9,102.706,727.7
9,26.51,arterial,58.9,33.3,48.7,0.794,26.3,rain,small_ev,24,140,1400,unladen,12.6,1412.6,10.868,409.9
11,57.15,highway,54.1,48.7,85.7,0.089,32.6,heavy_rain,mid_ev,40,160,1900,unladen,19.1,1919.1,35.4,619.4
12,3.15,city,8.9,1.2,22.1,0.595,29.6,clear,large_ev,75,190,2400,half_load,347.9,2747.9,2.097,665.7
13,29.07,arterial,21.3,2.3,56.1,0.191,29.2,clear,large_ev,75,190,2400,full_load,586.3,2986.3,12.813,440.8
14,162.69,highway,19.0,18.9,80.2,0.256,21.7,clear,small_ev,24,140,1400,half_load,123.5,1523.5,69.363,426.3
15,25.72,arterial,126.6,7.3,44.2,0.4,24.3,clear,mid_ev,40,160,1900,unladen,2.0,1902.0,8.5,330.5
16,4.55,city,7.2,12.1,21.8,0.524,34.0,clear,small_ev,24,140,1400,unladen,16.0,1416.0,1.488,326.8
17,41.21,highway,114.0,38.2,66.3,0.142,36.5,clear,small_ev,24,140,1400,half_load,173.6,1573.6,15.165,368.0
19,42.68,arterial,4.2,11.2,37.7,0.05,28.6,clear,mid_ev,40,160,1900,full_load,392.3,2292.3,7.251,169.9
20,57.78,highway,57.3,47.2,82.1,0.126,23.8,clear,large_ev,75,190,2400,half_load,358.1,2758.1,35.44,613.3
21,32.84,arterial,6.4,3.2,55.8,0.125,27.3,clear,large_ev,75,190,2400,unladen,24.2,2424.2,11.677,355.6
22,24.28,arterial,44.8,8.3,44.1,0.59,25.5,clear,small_ev,24,140,1400,half_load,174.1,1574.1,7.514,309.5
23,21.63,arterial,19.4,11.0,40.4,0.312,31.6,clear,large_ev,75,190,2400,half_load,243.7,2643.7,7.857,363.2
25,61.69,highway,9.5,55.5,54.8,0.246,24.3,rain,small_ev,24,140,1400,half_load,142.1,1542.1,14.827,240.4
26,31.45,highway,1.7,18.4,82.3,0.028,30.7,clear,small_ev,24,140,1400,half_load,179.8,1579.8,13.833,439.8
27,9.51,arterial,3.9,53.9,38.8,0.314,35.0,clear,large_ev,75,190,2400,unladen,14.8,2414.8,3.37,354.5
29,23.23,arterial,10.1,11.4,47.6,0.253,24.0,clear,large_ev,75,190,2400,half_load,246.8,2646.8,8.549,367.9
30,27.87,arterial,16.0,18.3,47.2,0.478,38.7,clear,large_ev,75,190,2400,unladen,23.8,2423.8,14.706,527.6
31,44.75,highway,57.6,24.7,81.5,0.047,20.0,clear,large_ev,75,190,2400,unladen,17.3,2417.3,25.749,575.4
32,66.09,highway,0.1,10.2,84.0,0.108,22.1,clear,large_ev,75,190,2400,full_load,594.8,2994.8,41.861,633.4
33,34.32,highway,19.2,47.5,104.8,0.177,30.9,heavy_rain,mid_ev,40,160,1900,half_load,241.6,2141.6,30.898,900.2
34,77.59,highway,15.6,4.5,93.5,0.407,30.9,clear,mid_ev,40,160,1900,full_load,439.6,2339.6,56.477,727.9
35,11.86,arterial,5.1,39.1,39.6,0.25,30.2,clear,mid_ev,40,160,1900,half_load,197.6,2097.6,3.016,254.3
36,8.39,city,3.6,14.1,20.9,0.277,30.8,heavy_rain,small_ev,24,140,1400,full_load,266.3,1666.3,2.172,258.9
37,20.31,arterial,93.5,29.8,51.9,0.839,30.3,clear,mid_ev,40,160,1900,full_load,435.8,2335.8,11.688,575.4
38,6.57,city,3.0,0.6,25.8,0.449,35.5,clear,mid_ev,40,160,1900,half_load,209.4,2109.4,2.944,448.4
39,33.32,arterial,7.5,5.4,39.4,0.292,31.1,clear,mid_ev,40,160,1900,unladen,26.2,1926.2,9.771,293.2
40,5.66,city,23.3,0.2,19.6,0.929,23.4,clear,small_ev,24,140,1400,full_load,275.9,1675.9,3.42,603.8
41,3.37,city,4.0,1.4,19.2,0.783,28.5,clear,small_ev,24,140,1400,unladen,29.1,1429.1,1.461,433.2
42,10.0,highway,121.8,71.4,85.9,0.055,36.2,heavy_rain,small_ev,24,140,1400,half_load,174.6,1574.6,6.022,602.2
43,6.97,arterial,14.8,29.2,54.0,0.117,29.4,heavy_rain,small_ev,24,140,1400,half_load,177.3,1577.3,1.871,268.7
45,92.64,highway,153.1,6.5,89.4,0.447,27.6,clear,mid_ev,40,160,1900,half_load,206.6,2106.6,64.078,691.7
46,1.0,city,2.2,7.3,23.9,0.779,33.4,clear,small_ev,24,140,1400,half_load,150.8,1550.8,0.509,508.7
48,78.2,highway,81.2,43.4,83.2,0.282,23.3,rain,mid_ev,40,160,1900,half_load,193.5,2093.5,44.145,564.5
49,28.77,highway,7.4,19.8,76.0,0.256,24.2,heavy_rain,mid_ev,40,160,1900,full_load,446.3,2346.3,14.526,504.8
50,7.27,city,4.3,7.1,24.8,0.838,38.0,clear,mid_ev,40,160,1900,unladen,40.4,1940.4,5.467,751.5
51,18.68,city,4.5,10.0,22.0,0.419,32.4,clear,mid_ev,40,160,1900,full_load,434.1,2334.1,8.615,461.1
52,1.93,city,5.4,0.0,23.6,0.195,36.0,clear,small_ev,24,140,1400,unladen,17.8,1417.8,0.381,197.7
53,93.8,highway,16.3,182.2,97.5,0.068,36.1,heavy_rain,large_ev,75,190,2400,unladen,50.4,2450.4,90.245,962.1
54,53.01,highway,100.1,11.0,84.5,0.21,30.9,clear,small_ev,24,140,1400,unladen,17.3,1417.3,26.245,495.1
55,51.24,highway,5.5,21.3,76.9,0.263,27.9,clear,mid_ev,40,160,1900,full_load,448.7,2348.7,24.671,481.4
57,11.89,arterial,7.0,8.6,50.9,0.136,30.2,rain,mid_ev,40,160,1900,unladen,3.5,1903.5,3.307,278.1
58,10.56,arterial,8.3,5.3,49.7,0.824,23.0,clear,mid_ev,40,160,1900,full_load,423.1,2323.1,5.774,546.8
62,18.24,arterial,5.1,35.6,42.9,0.219,32.1,clear,mid_ev,40,160,1900,full_load,397.5,2297.5,5.11,280.1
63,19.11,arterial,7.1,2.6,44.5,0.159,28.1,clear,mid_ev,40,160,1900,full_load,418.9,2318.9,5.372,281.0
64,9.12,city,5.3,2.2,24.0,0.7,31.5,clear,small_ev,24,140,1400,unladen,3.4,1403.4,3.78,414.6
65,84.6,highway,94.1,23.4,86.5,0.243,27.1,rain,mid_ev,40,160,1900,unladen,16.7,1916.7,49.083,580.2
66,48.49,highway,24.5,17.6,91.1,0.155,33.7,clear,large_ev,75,190,2400,half_load,289.7,2689.7,40.252,830.2
67,15.83,arterial,7.1,37.6,47.2,0.781,32.8,heavy_rain,large_ev,75,190,2400,unladen,12.5,2412.5,10.247,647.2
69,7.72,city,1.1,17.9,29.7,0.687,37.9,clear,large_ev,75,190,2400,full_load,532.5,2932.5,7.402,959.2
70,7.74,city,1.3,5.5,16.8,0.783,37.1,clear,mid_ev,40,160,1900,unladen,21.9,1921.9,4.974,642.8
73,11.94,arterial,15.4,31.1,50.8,0.128,35.6,clear,small_ev,24,140,1400,unladen,9.5,1409.5,2.815,235.8
74,4.87,arterial,19.4,32.4,55.6,0.436,34.2,clear,mid_ev,40,160,1900,unladen,39.0,1939.0,2.066,424.0
75,23.25,arterial,22.4,12.9,49.6,0.57,29.8,clear,mid_ev,40,160,1900,half_load,189.9,2089.9,10.572,454.7
76,15.33,arterial,20.2,99.5,53.8,0.344,28.1,clear,mid_ev,40,160,1900,unladen,40.7,1940.7,5.4,352.2
77,57.94,arterial,31.1,1.6,44.7,0.418,30.5,clear,large_ev,75,190,2400,unladen,33.2,2433.2,23.507,405.7
78,5.88,city,39.4,0.7,33.0,0.653,39.8,clear,large_ev,75,190,2400,half_load,340.4,2740.4,5.733,975.8
79,94.33,highway,3.4,24.3,90.6,0.144,31.3,clear,small_ev,24,140,1400,half_load,160.1,1560.1,49.386,523.6
80,3.27,city,8.5,8.3,19.9,0.393,34.0,clear,small_ev,24,140,1400,half_load,170.1,1570.1,0.92,281.7
81,31.1,highway,5.7,44.3,93.4,0.041,28.9,clear,small_ev,24,140,1400,full_load,297.4,1697.4,16.686,536.6
82,71.04,highway,48.2,3.7,84.0,0.16,33.1,rain,small_ev,24,140,1400,full_load,281.7,1681.7,35.964,506.2
83,84.31,highway,23.3,40.1,86.5,0.034,30.2,clear,mid_ev,40,160,1900,half_load,208.9,2108.9,49.906,591.9
84,7.5,city,14.4,5.3,17.6,0.268,31.2,clear,mid_ev,40,160,1900,full_load,442.8,2342.8,2.478,330.3
86,5.62,city,1.5,3.3,20.9,0.51,30.0,clear,mid_ev,40,160,1900,unladen,24.8,1924.8,2.32,412.8
87,94.62,highway,0.6,43.8,84.3,0.129,32.6,clear,mid_ev,40,160,1900,unladen,7.2,1907.2,54.508,576.1
88,95.74,highway,95.5,1.9,85.1,0.371,33.4,clear,mid_ev,40,160,1900,unladen,38.7,1938.7,63.811,666.5
89,26.9,arterial,17.2,8.3,30.2,0.446,35.3,clear,mid_ev,40,160,1900,unladen,43.5,1943.5,8.574,318.7
90,19.15,city,1.8,0.3,21.5,0.89,21.9,clear,mid_ev,40,160,1900,full_load,390.0,2290.0,13.746,717.8
91,37.81,highway,5.0,28.4,87.4,0.107,40.0,clear,large_ev,75,190,2400,half_load,318.0,2718.0,31.193,824.9
92,5.24,city,17.4,3.0,18.9,0.408,33.3,clear,small_ev,24,140,1400,full_load,271.6,1671.6,1.728,329.7
94,18.46,city,9.6,8.6,30.0,0.438,27.6,clear,large_ev,75,190,2400,full_load,513.9,2913.9,10.322,559.1
95,4.49,city,4.4,1.2,19.6,0.918,30.6,clear,small_ev,24,140,1400,full_load,284.8,1684.8,2.78,619.4
96,2.97,city,1.8,3.2,20.2,0.662,32.2,rain,large_ev,75,190,2400,full_load,526.0,2926.0,2.454,825.9
98,16.31,arterial,4.7,13.3,55.7,0.328,24.4,clear,mid_ev,40,160,1900,full_load,404.2,2304.2,6.678,409.5
99,32.85,highway,4.0,6.6,82.2,0.204,29.7,clear,small_ev,24,140,1400,unladen,14.7,1414.7,15.352,467.4
100,29.44,highway,100.3,33.7,90.6,0.186,32.0,rain,large_ev,75,190,2400,half_load,358.3,2758.3,23.93,812.8
101,14.8,arterial,19.6,29.1,46.6,0.647,21.9,clear,large_ev,75,190,2400,half_load,255.3,2655.3,8.494,573.8
